10c,0.931122065
10d,0.925111651
10h,0.932351887
10s,0.861438215
2c,0.927673936
2d,0.892318845
2h,0.916555762
2s,0.904819131
3c,0.947707236
3d,0.885321796
3h,0.923881829
3s,0.909757674
4c,0.905848861
4d,0.887221932
4h,0.95124954
4s,0.910949945
5c,0.883114934
5d,0.963098824
5h,0.932434499
5s,0.895622253
6c,0.947664618
6d,0.959263265
6h,0.954757869
6s,0.934263468
7c,0.914321005
7d,0.897729039
7h,0.85354799
7s,0.87925899
8c,0.908150792
8d,0.931968927
8h,0.949685454
8s,0.912514567
9c,0.947554231
9d,0.946966112
9h,0.941934705
9s,0.928752601
Ac,0.924377024
Ad,0.901321113
Ah,0.910127103
As,0.879451275
Jc,0.927038133
Jd,0.900150239
Jh,0.871585071
Js,0.883114934
Kc,0.913503647
Kd,0.923378468
Kh,0.909873962
Ks,0.860956728
Qc,0.892233312
Qd,0.887314737
Qh,0.899101436
Qs,0.843656242
